                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.4073,                 1.1208,                  1.358,                0.96705,                 0.9363,                0.97544,                0.64666,                 1.0879,                0.54773,                 1.1415,              0.0079408,              0.0079408,              0.0079408
                     54,                 1.3991,                 1.0993,                 1.3503,                0.96536,                0.94881,                 0.9815,                0.65942,                 1.0967,                0.49556,                 1.1395,              0.0079012,              0.0079012,              0.0079012
                     55,                 1.3964,                 1.1047,                 1.3472,                0.96813,                0.93563,                  0.977,                0.65679,                 1.0802,                0.49309,                 1.1254,              0.0078616,              0.0078616,              0.0078616
                     56,                 1.3976,                 1.1244,                 1.3454,                0.95896,                 0.9372,                0.97947,                0.65523,                 1.0979,                0.52032,                 1.1416,               0.007822,               0.007822,               0.007822
                     57,                 1.3994,                 1.1097,                 1.3556,                0.96193,                 0.9453,                0.97614,                0.65739,                 1.1175,                 0.5072,                 1.1368,              0.0077824,              0.0077824,              0.0077824
                     58,                 1.4013,                  1.111,                 1.3551,                0.96857,                0.94529,                0.97951,                0.66056,                 1.0971,                0.50153,                 1.1399,              0.0077428,              0.0077428,              0.0077428
                     59,                 1.3925,                 1.0988,                  1.346,                0.96999,                0.94771,                0.98322,                0.66109,                 1.0868,                0.49276,                 1.1355,              0.0077032,              0.0077032,              0.0077032
                     60,                 1.3929,                 1.0933,                 1.3388,                0.96398,                 0.9518,                 0.9784,                 0.6534,                 1.0991,                0.49699,                 1.1391,              0.0076636,              0.0076636,              0.0076636
                     61,                 1.3923,                 1.1022,                 1.3473,                0.97197,                 0.9467,                0.98051,                0.65333,                 1.0871,                 0.4879,                 1.1289,               0.007624,               0.007624,               0.007624
                     62,                 1.4014,                 1.1067,                 1.3589,                0.96658,                0.94555,                0.98409,                0.65722,                 1.0872,                0.50403,                 1.1349,              0.0075844,              0.0075844,              0.0075844
                     63,                 1.3965,                 1.0919,                 1.3432,                0.97252,                0.94223,                0.97811,                0.65124,                 1.0709,                0.50637,                   1.13,              0.0075448,              0.0075448,              0.0075448
                     64,                 1.3773,                 1.0764,                 1.3399,                0.97259,                0.94776,                0.98021,                0.66248,                  1.087,                0.47639,                 1.1403,              0.0075052,              0.0075052,              0.0075052
                     65,                 1.3924,                 1.0904,                 1.3478,                0.97478,                0.95214,                 0.9785,                0.65328,                 1.1113,                0.50836,                 1.1447,              0.0074656,              0.0074656,              0.0074656
                     66,                 1.3814,                 1.0788,                 1.3345,                0.97064,                0.95046,                0.97709,                0.65251,                  1.089,                0.48098,                 1.1309,               0.007426,               0.007426,               0.007426
                     67,                 1.3799,                 1.0738,                 1.3351,                0.97443,                0.94001,                0.97358,                0.65227,                 1.0945,                0.49134,                 1.1391,              0.0073864,              0.0073864,              0.0073864
                     68,                 1.3738,                 1.0716,                 1.3296,                0.97054,                0.94877,                 0.9843,                0.66127,                 1.0999,                 0.4733,                 1.1366,              0.0073468,              0.0073468,              0.0073468
                     69,                  1.362,                 1.0635,                  1.327,                0.97143,                0.95116,                0.98506,                0.65973,                 1.0957,                0.47468,                 1.1337,              0.0073072,              0.0073072,              0.0073072
                     70,                 1.3661,                 1.0628,                 1.3287,                0.97424,                0.94203,                0.98154,                0.65578,                  1.099,                0.48585,                 1.1437,              0.0072676,              0.0072676,              0.0072676
                     71,                 1.3719,                 1.0708,                 1.3317,                0.97269,                0.94911,                0.98109,                0.66995,                 1.0794,                0.47437,                 1.1224,               0.007228,               0.007228,               0.007228
                     72,                 1.3665,                  1.055,                 1.3208,                0.97302,                0.94798,                0.98326,                0.66814,                  1.084,                  0.469,                 1.1219,              0.0071884,              0.0071884,              0.0071884
                     73,                 1.3686,                 1.0537,                 1.3295,                0.97297,                0.94645,                0.97988,                0.65168,                  1.098,                0.46889,                 1.1423,              0.0071488,              0.0071488,              0.0071488
                     74,                 1.3613,                 1.0517,                   1.32,                0.97182,                0.95296,                 0.9818,                0.66463,                 1.0925,                0.47757,                 1.1276,              0.0071092,              0.0071092,              0.0071092
                     75,                 1.3648,                 1.0622,                 1.3277,                0.97477,                0.95062,                0.98214,                0.66287,                 1.0859,                0.46158,                 1.1324,              0.0070696,              0.0070696,              0.0070696
                     76,                 1.3575,                 1.0504,                 1.3259,                0.97029,                0.94641,                 0.9842,                0.65889,                 1.0863,                0.47521,                 1.1353,                0.00703,                0.00703,                0.00703
                     77,                 1.3478,                 1.0349,                 1.3142,                0.97294,                0.94675,                0.97694,                  0.651,                 1.0827,                 0.4845,                 1.1379,              0.0069904,              0.0069904,              0.0069904
                     78,                  1.354,                 1.0412,                  1.315,                0.97073,                0.95027,                0.97817,                0.65901,                 1.0816,                0.47749,                   1.13,              0.0069508,              0.0069508,              0.0069508
                     79,                 1.3505,                 1.0417,                 1.3125,                0.97357,                0.95686,                0.98107,                0.64868,                 1.0925,                0.46102,                 1.1382,              0.0069112,              0.0069112,              0.0069112
                     80,                 1.3506,                 1.0432,                 1.3181,                0.96844,                0.95214,                0.98189,                0.66619,                 1.0821,                0.46242,                 1.1252,              0.0068716,              0.0068716,              0.0068716
                     81,                 1.3479,                 1.0345,                 1.3111,                0.96519,                0.95686,                0.98163,                0.66334,                 1.0831,                0.46801,                 1.1273,               0.006832,               0.006832,               0.006832
                     82,                 1.3492,                 1.0383,                 1.3145,                0.97138,                0.94948,                0.97966,                0.66081,                 1.0865,                0.46692,                   1.13,              0.0067924,              0.0067924,              0.0067924
                     83,                 1.3446,                 1.0353,                 1.3113,                0.97052,                0.94439,                0.97858,                0.65438,                 1.0952,                0.47468,                 1.1396,              0.0067528,              0.0067528,              0.0067528
                     84,                 1.3472,                 1.0274,                 1.3118,                0.96689,                0.94477,                0.98136,                0.66418,                 1.0796,                0.48173,                 1.1286,              0.0067132,              0.0067132,              0.0067132
                     85,                 1.3337,                 1.0249,                    1.3,                0.96699,                0.95484,                0.97998,                0.66626,                 1.0737,                 0.4668,                 1.1172,              0.0066736,              0.0066736,              0.0066736
                     86,                 1.3364,                 1.0248,                 1.3009,                0.97441,                0.94969,                0.98122,                0.67211,                 1.0697,                0.45734,                 1.1219,               0.006634,               0.006634,               0.006634
                     87,                 1.3375,                 1.0233,                 1.3076,                0.96402,                0.94818,                0.98307,                 0.6594,                 1.0967,                0.46001,                  1.144,              0.0065944,              0.0065944,              0.0065944
                     88,                 1.3389,                 1.0153,                 1.3078,                0.97086,                0.95012,                 0.9802,                0.66293,                  1.098,                0.45941,                 1.1331,              0.0065548,              0.0065548,              0.0065548
                     89,                 1.3386,                 1.0312,                 1.3048,                0.97379,                0.95163,                0.97853,                0.66737,                 1.0922,                0.45794,                 1.1306,              0.0065152,              0.0065152,              0.0065152
                     90,                 1.3312,                 1.0193,                 1.3058,                0.96822,                0.95551,                0.98062,                0.66575,                 1.0908,                0.45581,                 1.1293,              0.0064756,              0.0064756,              0.0064756
                     91,                 1.3285,                 1.0116,                 1.3032,                0.96735,                0.95551,                0.98262,                 0.6695,                 1.0827,                0.45493,                 1.1225,               0.006436,               0.006436,               0.006436
                     92,                 1.3299,                 1.0095,                 1.3059,                 0.9682,                0.95419,                0.98146,                0.67139,                 1.0801,                0.45911,                 1.1225,              0.0063964,              0.0063964,              0.0063964
                     93,                  1.331,                 1.0121,                 1.3013,                0.96308,                0.94948,                0.98197,                0.67259,                  1.072,                0.45425,                 1.1118,              0.0063568,              0.0063568,              0.0063568
                     94,                 1.3206,                 1.0083,                 1.2949,                0.95606,                0.95551,                0.98527,                0.67356,                 1.0788,                0.45163,                  1.129,              0.0063172,              0.0063172,              0.0063172
                     95,                 1.3271,                 1.0111,                 1.3038,                0.96855,                0.95496,                0.98386,                0.67036,                 1.0798,                0.44863,                 1.1248,              0.0062776,              0.0062776,              0.0062776
                     96,                 1.3153,                0.99678,                 1.2949,                0.97349,                0.95314,                0.98467,                0.67082,                 1.0779,                0.44378,                 1.1304,               0.006238,               0.006238,               0.006238
                     97,                 1.3146,                0.99704,                 1.2956,                0.96931,                0.95281,                0.98346,                0.66741,                 1.0679,                 0.4478,                 1.1228,              0.0061984,              0.0061984,              0.0061984
                     98,                 1.3277,                 1.0113,                 1.2975,                0.97336,                0.94816,                0.98429,                0.67209,                 1.0758,                0.45161,                 1.1212,              0.0061588,              0.0061588,              0.0061588
                     99,                 1.3243,                 1.0045,                 1.2942,                0.97344,                0.95248,                0.98423,                0.67091,                  1.083,                0.43969,                 1.1256,              0.0061192,              0.0061192,              0.0061192
                    100,                 1.3134,                0.99342,                 1.2863,                0.97508,                0.94951,                0.98309,                0.66367,                 1.0809,                0.44497,                 1.1213,              0.0060796,              0.0060796,              0.0060796
                    101,                 1.3127,                 0.9942,                  1.291,                0.97242,                0.95067,                0.98233,                0.66526,                 1.0731,                0.44869,                 1.1273,                0.00604,                0.00604,                0.00604
                    102,                 1.3234,                0.99178,                 1.2947,                0.97239,                0.94972,                 0.9812,                0.66272,                 1.0731,                 0.4485,                 1.1269,              0.0060004,              0.0060004,              0.0060004
                    103,                 1.3101,                0.98353,                 1.2871,                0.97335,                 0.9518,                0.97862,                0.66225,                 1.0918,                0.45643,                 1.1237,              0.0059608,              0.0059608,              0.0059608
                    104,                 1.3016,                0.98126,                 1.2801,                0.97543,                0.94675,                0.98111,                0.66919,                 1.0786,                0.44604,                  1.122,              0.0059212,              0.0059212,              0.0059212
                    105,                 1.3139,                0.98674,                 1.2878,                0.97181,                0.95012,                0.98499,                 0.6741,                 1.0756,                0.44623,                 1.1255,              0.0058816,              0.0058816,              0.0058816
                    106,                 1.3131,                0.99128,                 1.2919,                0.97324,                0.94776,                0.98154,                0.66969,                 1.0917,                0.45299,                  1.132,               0.005842,               0.005842,               0.005842
                    107,                 1.3038,                0.98133,                 1.2894,                0.97528,                0.94877,                0.98565,                0.68062,                 1.0689,                0.44184,                 1.1224,              0.0058024,              0.0058024,              0.0058024
                    108,                 1.2971,                 0.9726,                 1.2801,                0.97196,                0.95349,                0.97968,                0.66862,                 1.0679,                 0.4399,                 1.1264,              0.0057628,              0.0057628,              0.0057628
                    109,                 1.3102,                0.98068,                 1.2817,                0.96747,                0.95315,                0.98028,                0.66815,                  1.083,                0.43947,                 1.1312,              0.0057232,              0.0057232,              0.0057232
                    110,                 1.3038,                0.97441,                 1.2814,                0.97056,                0.94877,                0.98111,                0.66878,                 1.0845,                0.44517,                 1.1299,              0.0056836,              0.0056836,              0.0056836
                    111,                 1.2897,                0.96773,                 1.2721,                0.97321,                0.95012,                0.98175,                 0.6702,                 1.0801,                0.43794,                 1.1293,               0.005644,               0.005644,               0.005644
                    112,                 1.2986,                0.96454,                 1.2822,                0.96832,                0.95416,                0.98088,                0.67659,                 1.0741,                0.44316,                 1.1258,              0.0056044,              0.0056044,              0.0056044
                    113,                 1.2868,                0.96455,                 1.2718,                0.96781,                0.95256,                 0.9824,                0.67446,                 1.0758,                0.43298,                 1.1232,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.2954,                0.97469,                 1.2792,                0.96892,                0.95416,                0.98142,                0.67043,                 1.0825,                0.43316,                 1.1247,              0.0055252,              0.0055252,              0.0055252
                    115,                 1.2844,                 0.9619,                 1.2771,                  0.974,                0.94698,                 0.9832,                0.67697,                 1.0653,                0.44511,                 1.1209,              0.0054856,              0.0054856,              0.0054856
                    116,                 1.2879,                0.96086,                  1.273,                0.97514,                0.94641,                0.98204,                0.67265,                 1.0657,                0.43473,                 1.1222,               0.005446,               0.005446,               0.005446
                    117,                 1.2857,                0.95802,                 1.2717,                0.97344,                0.95122,                0.98019,                0.66937,                 1.0751,                0.44276,                  1.123,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.2823,                0.95875,                 1.2762,                0.97419,                0.95079,                0.98134,                0.67193,                 1.0683,                0.43711,                 1.1238,              0.0053668,              0.0053668,              0.0053668
                    119,                 1.2929,                 0.9594,                 1.2766,                0.97344,                 0.9518,                0.98344,                0.67603,                 1.0703,                0.43715,                 1.1222,              0.0053272,              0.0053272,              0.0053272
                    120,                  1.298,                0.96801,                 1.2768,                 0.9722,                0.95458,                0.98331,                0.67623,                  1.068,                0.43038,                 1.1152,              0.0052876,              0.0052876,              0.0052876
                    121,                  1.288,                0.96432,                 1.2724,                0.96834,                0.95281,                0.98214,                0.67166,                  1.075,                0.43354,                 1.1168,               0.005248,               0.005248,               0.005248
                    122,                 1.2905,                0.96284,                 1.2752,                0.96817,                 0.9534,                0.98374,                0.67596,                 1.0712,                0.42914,                 1.1179,              0.0052084,              0.0052084,              0.0052084
                    123,                 1.2772,                0.94092,                 1.2617,                0.97383,                0.95012,                0.98285,                0.67376,                 1.0665,                0.43317,                 1.1178,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.2756,                0.94325,                 1.2624,                0.97168,                0.95349,                0.98152,                 0.6747,                 1.0701,                0.43208,                 1.1208,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.2799,                0.94457,                 1.2637,                0.97004,                0.95349,                0.97983,                0.67379,                 1.0771,                0.43868,                 1.1232,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.2811,                0.95163,                 1.2674,                0.96821,                0.95456,                0.98152,                0.67427,                 1.0793,                0.44397,                 1.1232,                0.00505,                0.00505,                0.00505
                    127,                 1.2729,                0.94483,                 1.2632,                0.97117,                0.95365,                0.98078,                0.67525,                 1.0745,                0.44189,                 1.1236,              0.0050104,              0.0050104,              0.0050104
                    128,                 1.2697,                0.93782,                 1.2592,                0.97049,                0.95551,                0.98039,                0.67241,                 1.0745,                0.44025,                 1.1257,              0.0049708,              0.0049708,              0.0049708
                    129,                 1.2671,                0.94586,                 1.2659,                0.97076,                0.95124,                 0.9813,                0.67426,                 1.0786,                0.44222,                 1.1248,              0.0049312,              0.0049312,              0.0049312
                    130,                 1.2744,                0.94296,                 1.2659,                0.97214,                0.95046,                0.98134,                0.67448,                 1.0783,                0.44244,                 1.1198,              0.0048916,              0.0048916,              0.0048916
                    131,                 1.2624,                0.93654,                  1.255,                0.96928,                0.95695,                0.98177,                0.67296,                 1.0757,                0.43895,                  1.123,               0.004852,               0.004852,               0.004852
                    132,                 1.2743,                0.94673,                 1.2638,                0.97281,                0.95046,                0.98171,                0.67592,                 1.0631,                0.43248,                 1.1201,              0.0048124,              0.0048124,              0.0048124
                    133,                 1.2688,                0.94424,                 1.2609,                0.97205,                0.95281,                0.98126,                0.67635,                 1.0691,                0.43344,                 1.1222,              0.0047728,              0.0047728,              0.0047728
                    134,                 1.2648,                0.93679,                 1.2535,                0.96972,                0.94978,                0.97969,                0.67461,                 1.0745,                0.43455,                 1.1211,              0.0047332,              0.0047332,              0.0047332
                    135,                 1.2637,                0.93542,                 1.2571,                0.96962,                0.95046,                0.97899,                0.67474,                 1.0807,                0.43451,                 1.1191,              0.0046936,              0.0046936,              0.0046936
                    136,                 1.2709,                0.93716,                 1.2596,                0.97405,                0.94871,                0.97945,                 0.6751,                 1.0707,                0.43167,                 1.1158,               0.004654,               0.004654,               0.004654
                    137,                 1.2606,                0.93193,                 1.2527,                0.97408,                0.95009,                0.97904,                0.67225,                  1.076,                0.43465,                 1.1172,              0.0046144,              0.0046144,              0.0046144
                    138,                 1.2566,                0.93108,                 1.2514,                0.97045,                0.95185,                0.97924,                0.67347,                 1.0711,                 0.4362,                 1.1176,              0.0045748,              0.0045748,              0.0045748
                    139,                 1.2554,                0.92668,                 1.2498,                0.97121,                 0.9552,                0.97945,                 0.6747,                 1.0695,                0.43237,                 1.1175,              0.0045352,              0.0045352,              0.0045352
                    140,                 1.2575,                0.91876,                 1.2531,                 0.9716,                0.95248,                0.98047,                0.67513,                 1.0708,                0.43189,                 1.1194,              0.0044956,              0.0044956,              0.0044956
                    141,                 1.2523,                0.92015,                 1.2484,                0.96759,                 0.9558,                0.98087,                0.67703,                 1.0711,                0.42682,                 1.1192,               0.004456,               0.004456,               0.004456
                    142,                 1.2549,                0.92631,                 1.2543,                0.96889,                0.95522,                0.98046,                0.67739,                 1.0707,                0.43348,                 1.1141,              0.0044164,              0.0044164,              0.0044164
                    143,                  1.258,                0.92095,                 1.2562,                0.97219,                0.95437,                0.97875,                0.67542,                 1.0808,                0.43472,                 1.1154,              0.0043768,              0.0043768,              0.0043768
                    144,                 1.2526,                0.92014,                 1.2489,                0.97177,                0.95248,                0.97719,                0.67504,                 1.0845,                0.44079,                 1.1173,              0.0043372,              0.0043372,              0.0043372
                    145,                 1.2409,                0.90745,                 1.2435,                0.97276,                0.95098,                0.97905,                  0.676,                 1.0815,                0.43637,                 1.1144,              0.0042976,              0.0042976,              0.0042976
                    146,                 1.2428,                0.90931,                 1.2456,                0.97535,                0.94978,                0.98134,                0.67755,                 1.0766,                0.43387,                  1.114,               0.004258,               0.004258,               0.004258
                    147,                 1.2546,                0.91043,                 1.2465,                0.97566,                0.94911,                0.98091,                0.67504,                 1.0796,                0.43512,                  1.116,              0.0042184,              0.0042184,              0.0042184
                    148,                 1.2469,                 0.9167,                 1.2478,                0.97357,                0.94944,                0.98083,                0.67657,                 1.0816,                0.43352,                 1.1155,              0.0041788,              0.0041788,              0.0041788
                    149,                 1.2448,                0.90669,                 1.2421,                 0.9718,                0.95239,                 0.9815,                0.67829,                 1.0762,                 0.4301,                 1.1169,              0.0041392,              0.0041392,              0.0041392
                    150,                 1.2468,                0.90921,                 1.2474,                0.96956,                0.95517,                0.98211,                0.68132,                 1.0734,                0.42617,                 1.1167,              0.0040996,              0.0040996,              0.0040996
                    151,                 1.2484,                0.91077,                 1.2464,                0.97184,                0.95382,                0.98319,                0.68424,                 1.0743,                0.42432,                 1.1173,                0.00406,                0.00406,                0.00406
                    152,                 1.2438,                0.91237,                 1.2403,                0.97222,                0.95315,                0.98247,                0.68375,                 1.0726,                0.42239,                 1.1146,              0.0040204,              0.0040204,              0.0040204
                    153,                 1.2374,                0.91286,                 1.2404,                0.97253,                0.95465,                0.98269,                 0.6809,                 1.0742,                0.42215,                 1.1155,              0.0039808,              0.0039808,              0.0039808
