                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7968,                 2.3664,                 1.6413,                0.75877,                0.66577,                0.69133,                0.44787,                 1.2441,                 1.6848,                  1.283,              0.0033194,              0.0033194,              0.0033194
                      1,                 1.7065,                 1.8023,                 1.5397,                0.89878,                0.78114,                 0.8473,                0.53855,                 1.2471,                 1.2036,                 1.2507,              0.0066264,              0.0066264,              0.0066264
                      2,                 1.7283,                 1.7346,                 1.5506,                0.89785,                0.84698,                0.91407,                0.56504,                 1.2386,                  1.063,                 1.2563,               0.009907,               0.009907,               0.009907
                      3,                 1.7723,                 1.7345,                 1.5954,                0.83495,                0.73997,                0.81321,                0.52469,                 1.2998,                 1.1383,                 1.2258,              0.0098812,              0.0098812,              0.0098812
                      4,                  1.733,                 1.6547,                 1.5716,                0.84408,                0.82642,                0.88155,                0.54456,                 1.2842,                 1.1386,                 1.2632,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.7122,                 1.6131,                 1.5551,                0.87204,                0.81699,                0.89679,                0.56752,                 1.2211,                0.96688,                 1.2152,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.7105,                 1.5822,                 1.5572,                0.87162,                0.81564,                0.89275,                0.55997,                 1.2861,                 1.0174,                 1.2538,               0.009802,               0.009802,               0.009802
                      7,                 1.6952,                  1.559,                 1.5499,                0.93775,                0.81328,                0.90605,                0.58026,                 1.2136,                0.84442,                 1.2395,              0.0097624,              0.0097624,              0.0097624
                      8,                  1.666,                 1.5095,                 1.5377,                 0.9187,                0.85311,                0.93702,                0.59518,                 1.1941,                0.99578,                 1.2224,              0.0097228,              0.0097228,              0.0097228
                      9,                 1.6394,                 1.4932,                  1.519,                0.95612,                0.88338,                0.94903,                0.61209,                 1.1685,                0.73443,                 1.1744,              0.0096832,              0.0096832,              0.0096832
                     10,                 1.6255,                 1.4613,                 1.5081,                0.95178,                0.89889,                0.95878,                0.62712,                 1.1838,                0.76353,                 1.1818,              0.0096436,              0.0096436,              0.0096436
                     11,                 1.6205,                 1.4491,                 1.5024,                0.95379,                0.89754,                0.94379,                0.60172,                 1.1816,                0.76992,                 1.2067,               0.009604,               0.009604,               0.009604
                     12,                 1.6141,                 1.4329,                 1.5007,                0.93352,                0.89928,                0.94129,                0.59263,                 1.1899,                0.78363,                 1.2132,              0.0095644,              0.0095644,              0.0095644
                     13,                  1.592,                 1.4051,                 1.4828,                0.94122,                0.89596,                0.93812,                0.60866,                 1.1827,                0.73383,                 1.2023,              0.0095248,              0.0095248,              0.0095248
                     14,                 1.5864,                 1.3927,                 1.4819,                0.96423,                0.88338,                0.95104,                0.61462,                 1.1927,                0.68473,                 1.1966,              0.0094852,              0.0094852,              0.0094852
                     15,                 1.5788,                 1.3763,                 1.4799,                0.94015,                0.89889,                0.94784,                0.60563,                 1.1794,                0.71439,                 1.1999,              0.0094456,              0.0094456,              0.0094456
                     16,                 1.5656,                 1.3683,                  1.472,                0.95697,                0.90529,                0.95537,                0.62655,                 1.1478,                0.67758,                 1.1704,               0.009406,               0.009406,               0.009406
                     17,                 1.5625,                 1.3613,                 1.4667,                0.96209,                0.91776,                0.95655,                0.61065,                 1.1596,                0.69518,                 1.1908,              0.0093664,              0.0093664,              0.0093664
                     18,                 1.5437,                 1.3272,                 1.4526,                0.95177,                0.89126,                0.95506,                0.63005,                 1.1445,                0.70756,                 1.1689,              0.0093268,              0.0093268,              0.0093268
                     19,                 1.5491,                 1.3209,                 1.4582,                 0.9602,                0.91439,                0.96304,                0.62033,                 1.1549,                0.62763,                 1.1925,              0.0092872,              0.0092872,              0.0092872
                     20,                 1.5306,                  1.313,                 1.4469,                0.95926,                0.90091,                0.95098,                0.61788,                 1.1391,                 0.6653,                 1.1795,              0.0092476,              0.0092476,              0.0092476
                     21,                 1.5284,                 1.3024,                 1.4439,                0.96143,                0.90361,                0.96304,                0.61862,                  1.142,                0.64043,                 1.1784,               0.009208,               0.009208,               0.009208
                     22,                 1.5238,                 1.3008,                 1.4405,                0.97514,                0.91743,                0.96762,                0.63739,                 1.1451,                0.62915,                 1.1677,              0.0091684,              0.0091684,              0.0091684
                     23,                 1.5227,                 1.2768,                 1.4373,                0.96865,                0.91634,                0.95736,                0.62232,                 1.1233,                0.66066,                 1.1706,              0.0091288,              0.0091288,              0.0091288
                     24,                 1.4969,                 1.2642,                 1.4245,                 0.9601,                0.92457,                0.95727,                0.62512,                 1.1237,                0.63437,                 1.1574,              0.0090892,              0.0090892,              0.0090892
                     25,                 1.5158,                 1.2816,                 1.4396,                0.97042,                0.89572,                0.95674,                0.61714,                 1.1553,                0.63738,                 1.1988,              0.0090496,              0.0090496,              0.0090496
                     26,                 1.5041,                 1.2735,                 1.4301,                0.96484,                 0.9065,                0.96099,                0.62259,                 1.1652,                0.63654,                 1.1836,                0.00901,                0.00901,                0.00901
                     27,                 1.5016,                 1.2569,                 1.4256,                0.92816,                 0.9154,                 0.9622,                 0.6345,                 1.1424,                0.74832,                 1.1709,              0.0089704,              0.0089704,              0.0089704
                     28,                 1.4963,                 1.2356,                 1.4153,                0.95036,                0.90976,                0.96525,                0.62752,                 1.1321,                0.71719,                  1.172,              0.0089308,              0.0089308,              0.0089308
                     29,                 1.4995,                 1.2611,                 1.4268,                0.95566,                0.91524,                0.96131,                0.63226,                 1.1448,                 0.6107,                 1.1784,              0.0088912,              0.0088912,              0.0088912
                     30,                 1.4872,                 1.2475,                 1.4188,                0.96555,                 0.9272,                0.96197,                0.63612,                 1.1233,                0.61791,                 1.1651,              0.0088516,              0.0088516,              0.0088516
                     31,                   1.49,                 1.2188,                 1.4086,                0.96079,                0.91978,                0.96382,                0.62586,                 1.1365,                0.64211,                 1.1661,               0.008812,               0.008812,               0.008812
                     32,                 1.4869,                 1.2208,                  1.418,                0.97037,                0.91601,                0.96596,                0.63287,                 1.1275,                0.64001,                 1.1617,              0.0087724,              0.0087724,              0.0087724
                     33,                 1.4903,                 1.2301,                 1.4086,                0.96227,                 0.9197,                 0.9664,                0.62831,                 1.1259,                0.60267,                 1.1779,              0.0087328,              0.0087328,              0.0087328
                     34,                 1.4624,                  1.208,                 1.4009,                 0.9634,                0.93156,                0.97023,                 0.6386,                 1.1198,                0.57262,                 1.1615,              0.0086932,              0.0086932,              0.0086932
                     35,                  1.471,                 1.2114,                 1.4023,                0.97188,                0.92014,                 0.9657,                0.63001,                 1.1368,                0.58591,                 1.1595,              0.0086536,              0.0086536,              0.0086536
                     36,                 1.4651,                 1.1883,                 1.3995,                0.96581,                0.93259,                 0.9657,                0.62595,                 1.1607,                0.55439,                  1.176,               0.008614,               0.008614,               0.008614
                     37,                 1.4499,                  1.177,                 1.3868,                0.97263,                0.92235,                0.96919,                0.64233,                  1.116,                0.57151,                 1.1706,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.4614,                  1.195,                  1.399,                0.96921,                0.92303,                0.96927,                0.63173,                 1.1354,                0.57318,                 1.1789,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.4474,                 1.1899,                 1.3914,                0.96112,                0.93158,                0.96357,                0.63253,                 1.0968,                0.56101,                 1.1606,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.4472,                 1.1743,                 1.3848,                0.96143,                0.93245,                0.97584,                0.63851,                 1.1141,                0.52497,                  1.166,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.4562,                 1.1759,                   1.39,                0.95049,                0.93461,                0.96172,                0.63983,                 1.1029,                0.56346,                 1.1574,               0.008416,               0.008416,               0.008416
                     42,                 1.4295,                 1.1548,                 1.3735,                0.95161,                0.93327,                0.97416,                  0.648,                 1.1313,                0.55513,                 1.1568,              0.0083764,              0.0083764,              0.0083764
                     43,                 1.4401,                 1.1567,                  1.373,                0.96017,                0.92616,                0.97119,                0.64947,                 1.0945,                0.55958,                 1.1381,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.4298,                 1.1457,                 1.3692,                0.95106,                0.91697,                0.96466,                0.64504,                 1.0849,                0.59547,                 1.1397,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.4324,                 1.1472,                 1.3715,                0.96025,                0.92829,                0.96876,                0.64742,                 1.1051,                0.56518,                 1.1464,              0.0082576,              0.0082576,              0.0082576
                     46,                 1.4302,                 1.1456,                 1.3677,                 0.9547,                0.94338,                0.97348,                0.64802,                  1.092,                0.53546,                  1.141,               0.008218,               0.008218,               0.008218
                     47,                 1.4272,                 1.1474,                 1.3697,                0.97076,                0.93091,                0.97661,                0.63937,                 1.1627,                0.53417,                 1.1732,              0.0081784,              0.0081784,              0.0081784
                     48,                 1.4078,                 1.1345,                 1.3646,                0.96406,                0.93866,                0.97867,                0.64805,                 1.0845,                0.52472,                 1.1466,              0.0081388,              0.0081388,              0.0081388
                     49,                 1.4227,                 1.1367,                 1.3665,                 0.9616,                0.95012,                0.97952,                0.65734,                 1.0998,                0.52637,                 1.1422,              0.0080992,              0.0080992,              0.0080992
                     50,                 1.4091,                 1.1342,                 1.3634,                 0.9675,                0.94371,                0.97921,                0.65374,                 1.0962,                 0.5145,                 1.1519,              0.0080596,              0.0080596,              0.0080596
                     51,                 1.4131,                 1.1361,                 1.3634,                0.96101,                0.93043,                0.97514,                0.65254,                 1.0831,                0.52179,                 1.1391,                0.00802,                0.00802,                0.00802
                     52,                 1.4083,                 1.1182,                 1.3563,                0.97025,                0.92319,                0.97517,                0.65627,                 1.0991,                0.51942,                 1.1407,              0.0079804,              0.0079804,              0.0079804
